Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Peterborough,703453867,8.16,14.83,3.03,1.32,27.34,19232428744,708717016,9.92,1.14,2.04,17.74,30.84,21618215
Piermont,115686660,5.57,12.9,2.22,1.41,22.1,2556675207,97898682,6.84,1.71,2.04,9.2,19.79,1912538
Pinkham's Grant,3368282,2.46,-2.77,2.46,4.59,6.74,22702224,2971730,7.35,7.06,3.15,-2.96,14.6,42822
Pittsburg,336368994,1.75,5.6,2.31,4.24,13.9,4675529022,292923356,3.26,4.94,1.97,5.58,15.75,4575385
Pittsfield,307349285,8.93,16.72,2.4,2.61,30.66,9423329093,345397729,8.34,2.36,1.62,12.4,24.72,8456829
Plainfield,329929097,4.39,14.18,2.35,2.93,23.85,7868808985,308439574,5.34,2.64,1.88,15.54,25.4,7757856
Plaistow,969172611,6.27,14.59,2.71,1.14,24.71,23948255218,1200736760,5.41,0.86,2.05,13.33,21.65,25748825
Plymouth,522415863,7.3,10.36,2.18,1.41,21.25,11101337098,495555085,11.4,1.81,1.96,13.32,28.49,13997493
Portsmouth,4646590296,8.42,5.34,2.46,1.05,17.27,80246614423,6301589965,6.83,0.9,1.9,5.07,14.7,91740195
Randolph,79949874,4.44,4.15,2.41,3.91,14.91,1192052627,73126997,5.57,4.32,1.85,3.36,15.1,1084102
Raymond,958098124,5.53,13.73,2.44,1.1,22.8,21844637241,956238144,6.25,1.04,2.27,16.64,26.2,24661821
Richmond,122419615,4.1,13.42,2.29,3.19,23.0,2815651156,107429939,5.7,3.65,1.96,12.4,23.71,2511845
Rindge,640037525,4.43,15.08,2.48,3.33,25.32,16205750143,688860863,3.88,3.64,1.85,13.08,22.45,15223839
Rochester,2327101884,8.3,11.17,2.61,2.78,24.86,57851752858,2777583937,8.18,2.43,1.94,12.06,24.61,67428106
Rollinsford,304934719,2.75,13.68,2.49,2.64,21.56,6574392542,286931501,4.9,2.76,2.11,14.91,24.68,7020807
Roxbury,30186593,0.21,17.15,2.61,3.58,23.55,710894269,24835114,2.57,3.9,2.16,16.74,25.37,626082
Rumney,224791496,4.31,11.12,2.32,1.45,19.2,4315996728,196500066,5.2,1.74,1.77,15.23,23.94,4633619
Rye,2063078473,3.24,3.9,2.42,1.04,10.6,21868631823,2189628400,3.1,0.97,2.27,3.88,10.22,23103004
Salem,4462390659,7.33,9.39,2.39,1.03,20.14,89872547889,4676922757,7.16,1.03,2.2,11.63,22.02,102157204
Salisbury,181341508,3.35,10.65,2.39,2.48,18.87,3421914258,149608173,4.77,2.85,2.05,14.93,24.6,3615513
Sanbornton,503102996,7.29,8.67,2.34,1.38,19.68,9901066968,532120102,7.7,1.16,1.93,9.39,20.18,10617502
