Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Dunbarton,417631650.92999995,3.7,12.66,2.45,2.63,21.44,8954022595.9392,394363018,3.8,2.63,1.88,13.97,22.28,8673051
Durham,1229507881.29,7.57,15.69,2.33,2.61,28.2,34672122252.378,1230868663,7.79,2.57,2.0,15.37,27.73,33875015
East Kingston,409577145.12,5.87,14.04,2.29,0.99,23.19,9498093995.3328,400375027,4.91,0.84,1.9,14.75,22.4,8844592
Easton,89973767.52,1.42,5.59,2.34,1.48,10.83,974415902.2415999,75921478,1.4,1.66,1.86,6.94,11.86,895026
Eaton,141403400.19,4.03,3.83,2.48,1.02,11.36,1606342626.1583998,114582083,5.77,1.13,2.01,5.35,14.26,1609699
Effingham,247557532.95,5.92,9.82,2.43,0.99,19.16,4743202331.322,210314816,8.81,1.07,1.66,9.71,21.25,4418653
Ellsworth,18518875.83,3.75,5.61,2.45,1.53,13.34,247041803.57219997,19448628,3.34,1.48,1.51,8.73,15.06,291315
Enfield,745229752.02,5.95,10.64,2.52,1.5,20.61,15359185189.132198,582669034,7.1,1.78,2.0,14.57,25.45,14766670
Epping,846551305.0799999,4.54,16.34,2.36,1.03,24.27,20545800174.2916,926700300,5.4,0.87,1.93,15.44,23.64,21545720
Epsom,555111883.17,4.4,12.22,2.24,2.79,21.65,12018172270.630499,507757821,3.95,2.49,1.91,13.48,21.83,10904872
Errol,117573157.25999999,0.67,3.14,2.47,4.22,10.5,1234518151.23,90067236,3.41,4.33,1.94,3.57,13.25,1172652
Erving's Grant,105240.32999999999,-4.71,-2.64,2.64,4.71,0.0,0.0,50191,-4.62,4.62,1.75,-1.75,0.0,0
Exeter,2141474648.04,7.87,13.89,2.46,1.06,25.28,54136479102.4512,2196207682,5.91,0.92,1.99,15.67,24.49,53404715
Farmington,643235572.98,7.13,8.12,2.35,2.4,20.0,12864711459.6,557174859,6.4,2.47,1.89,12.16,22.92,12524607
Fitzwilliam,420071057.64,4.69,15.0,2.04,2.86,24.59,10329547307.3676,298406160,4.96,3.7,1.96,15.14,25.76,7493042
Francestown,287199929.25,6.7,10.51,2.49,1.05,20.75,5959398531.9375,217929959,7.86,1.02,1.83,15.15,25.86,5594632
Franconia,388514656.53,4.28,8.0,2.51,1.5,16.29,6328903754.873699,291207993,6.47,1.88,2.02,8.13,18.5,5355630
Franklin,772226262.99,10.82,5.45,2.46,2.79,21.52,16618309179.5448,692559061,11.87,2.57,1.95,6.45,22.84,15524327
Freedom,667042689.6899999,3.72,4.23,2.47,1.07,11.49,7664320504.538099,652134439,3.65,1.05,1.7,4.27,10.67,6920691
Fremont,497275166.7,3.36,20.54,2.37,1.0,27.27,13560693795.909,535327528,3.94,0.87,1.85,16.47,23.13,12136356
Gilford,2084448354.3,4.93,9.35,2.74,1.53,18.55,38666516972.265,2149486818,4.65,1.12,1.84,7.42,15.03,32260148
Gilmanton,648949307.76,6.05,13.68,2.42,1.36,23.51,15256798225.437601,544678795,5.61,1.13,1.82,14.64,23.2,12601071
Gilsum,89068663.71,5.72,14.56,2.43,3.24,25.95,2311331823.2745,71965174,6.84,3.46,1.85,13.6,25.75,1844162
Goffstown,1810040481.9899998,9.71,10.78,2.52,1.16,24.17,43748678449.698296,1732938400,8.24,1.12,1.99,13.47,24.82,42390384
Gorham,422473614.03,11.21,9.58,2.29,3.72,26.8,11322292856.004,274857509,12.03,4.71,2.04,13.07,31.85,8592016
Goshen,102962149.28999999,7.68,8.84,2.31,2.93,21.76,2240456368.5504,82975721,8.41,2.51,1.76,10.29,22.97,1880264
